parent,child,parents,full
Office,Tech Startup,root|Professional & Other Places|Office,root|Professional & Other Places|Office|Tech Startup
Office,Corporate Coffee Shop,root|Professional & Other Places|Office,root|Professional & Other Places|Office|Corporate Coffee Shop
Office,Corporate Amenity,root|Professional & Other Places|Office,root|Professional & Other Places|Office|Corporate Amenity
Office,Coworking Space,root|Professional & Other Places|Office,root|Professional & Other Places|Office|Coworking Space
Office,Conference Room,root|Professional & Other Places|Office,root|Professional & Other Places|Office|Conference Room
Professional & Other Places,Fair,root|Professional & Other Places,root|Professional & Other Places|Fair
Professional & Other Places,Radio Station,root|Professional & Other Places,root|Professional & Other Places|Radio Station
Professional & Other Places,Industrial Estate,root|Professional & Other Places,root|Professional & Other Places|Industrial Estate
Professional & Other Places,Distillery,root|Professional & Other Places,root|Professional & Other Places|Distillery
Professional & Other Places,Library,root|Professional & Other Places,root|Professional & Other Places|Library
Professional & Other Places,Animal Shelter,root|Professional & Other Places,root|Professional & Other Places|Animal Shelter
Professional & Other Places,Parking,root|Professional & Other Places,root|Professional & Other Places|Parking
Professional & Other Places,Laboratory,root|Professional & Other Places,root|Professional & Other Places|Laboratory
Professional & Other Places,Club House,root|Professional & Other Places,root|Professional & Other Places|Club House
Professional & Other Places,Recruiting Agency,root|Professional & Other Places,root|Professional & Other Places|Recruiting Agency
root,Event,root,root|Event
Event,Conference,root|Event,root|Event|Conference
Event,Music Festival,root|Event,root|Event|Music Festival
Event,Festival,root|Event,root|Event|Festival
Event,Other Event,root|Event,root|Event|Other Event
Event,Stoop Sale,root|Event,root|Event|Stoop Sale
Event,Street Fair,root|Event,root|Event|Street Fair
Event,Convention,root|Event,root|Event|Convention
Event,Christmas Market,root|Event,root|Event|Christmas Market
Event,Parade,root|Event,root|Event|Parade
